seed = 7271, n = 10, kappa = 1.00e+00, iterations = 1, message = success
seed = 7271, n = 10, kappa = 1.44e+00, iterations = 7, message = success
seed = 7271, n = 10, kappa = 2.07e+00, iterations = 4, message = success
seed = 7271, n = 10, kappa = 2.98e+00, iterations = 7, message = success
seed = 7271, n = 10, kappa = 4.28e+00, iterations = 7, message = success
seed = 7271, n = 10, kappa = 6.16e+00, iterations = 15, message = success
seed = 7271, n = 10, kappa = 8.86e+00, iterations = 21, message = success
seed = 7271, n = 10, kappa = 1.27e+01, iterations = 29, message = success
seed = 7271, n = 10, kappa = 1.83e+01, iterations = 34, message = success
seed = 7271, n = 10, kappa = 2.64e+01, iterations = 54, message = success
seed = 7271, n = 10, kappa = 3.79e+01, iterations = 52, message = success
seed = 7271, n = 10, kappa = 5.46e+01, iterations = 49, message = success
seed = 7271, n = 10, kappa = 7.85e+01, iterations = 171, message = success
seed = 7271, n = 10, kappa = 1.13e+02, iterations = 234, message = success
seed = 7271, n = 10, kappa = 1.62e+02, iterations = 32, message = success
seed = 7271, n = 10, kappa = 2.34e+02, iterations = 424, message = success
seed = 7271, n = 10, kappa = 3.36e+02, iterations = 663, message = success
seed = 7271, n = 10, kappa = 4.83e+02, iterations = 56, message = success
seed = 7271, n = 10, kappa = 6.95e+02, iterations = 817, message = success
seed = 7271, n = 10, kappa = 1.00e+03, iterations = 1820, message = success
seed = 861, n = 10, kappa = 1.00e+00, iterations = 1, message = success
seed = 861, n = 10, kappa = 1.44e+00, iterations = 7, message = success
seed = 861, n = 10, kappa = 2.07e+00, iterations = 7, message = success
seed = 861, n = 10, kappa = 2.98e+00, iterations = 7, message = success
seed = 861, n = 10, kappa = 4.28e+00, iterations = 11, message = success
seed = 861, n = 10, kappa = 6.16e+00, iterations = 15, message = success
seed = 861, n = 10, kappa = 8.86e+00, iterations = 22, message = success
seed = 861, n = 10, kappa = 1.27e+01, iterations = 31, message = success
seed = 861, n = 10, kappa = 1.83e+01, iterations = 39, message = success
seed = 861, n = 10, kappa = 2.64e+01, iterations = 59, message = success
seed = 861, n = 10, kappa = 3.79e+01, iterations = 48, message = success
seed = 861, n = 10, kappa = 5.46e+01, iterations = 75, message = success
seed = 861, n = 10, kappa = 7.85e+01, iterations = 110, message = success
seed = 861, n = 10, kappa = 1.13e+02, iterations = 117, message = success
seed = 861, n = 10, kappa = 1.62e+02, iterations = 21, message = success
seed = 861, n = 10, kappa = 2.34e+02, iterations = 266, message = success
seed = 861, n = 10, kappa = 3.36e+02, iterations = 216, message = success
seed = 861, n = 10, kappa = 4.83e+02, iterations = 921, message = success
seed = 861, n = 10, kappa = 6.95e+02, iterations = 608, message = success
seed = 861, n = 10, kappa = 1.00e+03, iterations = 1623, message = success
seed = 5391, n = 10, kappa = 1.00e+00, iterations = 1, message = success
seed = 5391, n = 10, kappa = 1.44e+00, iterations = 6, message = success
seed = 5391, n = 10, kappa = 2.07e+00, iterations = 6, message = success
seed = 5391, n = 10, kappa = 2.98e+00, iterations = 6, message = success
seed = 5391, n = 10, kappa = 4.28e+00, iterations = 10, message = success
seed = 5391, n = 10, kappa = 6.16e+00, iterations = 15, message = success
seed = 5391, n = 10, kappa = 8.86e+00, iterations = 19, message = success
seed = 5391, n = 10, kappa = 1.27e+01, iterations = 32, message = success
seed = 5391, n = 10, kappa = 1.83e+01, iterations = 46, message = success
seed = 5391, n = 10, kappa = 2.64e+01, iterations = 34, message = success
seed = 5391, n = 10, kappa = 3.79e+01, iterations = 55, message = success
seed = 5391, n = 10, kappa = 5.46e+01, iterations = 69, message = success
seed = 5391, n = 10, kappa = 7.85e+01, iterations = 92, message = success
seed = 5391, n = 10, kappa = 1.13e+02, iterations = 96, message = success
seed = 5391, n = 10, kappa = 1.62e+02, iterations = 47, message = success
