
### Датасет: w8a.t ###
Точность ε=1.0e+00   | Ошибка классификации=0.9726 | Время=0.00 сек
Точность ε=1.0e-01   | Ошибка классификации=0.1046 | Время=0.02 сек
Точность ε=1.0e-02   | Ошибка классификации=0.1053 | Время=0.02 сек
Точность ε=1.0e-03   | Ошибка классификации=0.1033 | Время=0.03 сек
Точность ε=1.0e-04   | Ошибка классификации=0.1013 | Время=0.06 сек
Точность ε=1.0e-05   | Ошибка классификации=0.0980 | Время=0.08 сек
Точность ε=1.0e-06   | Ошибка классификации=0.0980 | Время=0.12 сек
Точность ε=1.0e-07   | Ошибка классификации=0.0966 | Время=0.18 сек
Точность ε=1.0e-08   | Ошибка классификации=0.0970 | Время=0.17 сек

### Датасет: rcv1_train.binary.bz2 ###
Точность ε=1.0e+00   | Ошибка классификации=0.4767 | Время=0.01 сек
Точность ε=1.0e-01   | Ошибка классификации=0.0541 | Время=0.34 сек
Точность ε=1.0e-02   | Ошибка классификации=0.0509 | Время=0.38 сек
Точность ε=1.0e-03   | Ошибка классификации=0.0380 | Время=0.57 сек
Точность ε=1.0e-04   | Ошибка классификации=0.0368 | Время=0.75 сек
Точность ε=1.0e-05   | Ошибка классификации=0.0368 | Время=0.82 сек
Точность ε=1.0e-06   | Ошибка классификации=0.0368 | Время=0.80 сек
Точность ε=1.0e-07   | Ошибка классификации=0.0370 | Время=1.19 сек
Точность ε=1.0e-08   | Ошибка классификации=0.0368 | Время=1.20 сек

### Датасет: real-sim.bz2 ###
Точность ε=1.0e+00   | Ошибка классификации=0.6838 | Время=0.01 сек
Точность ε=1.0e-01   | Ошибка классификации=0.1032 | Время=0.28 сек
Точность ε=1.0e-02   | Ошибка классификации=0.0476 | Время=0.42 сек
Точность ε=1.0e-03   | Ошибка классификации=0.0340 | Время=0.52 сек
Точность ε=1.0e-04   | Ошибка классификации=0.0295 | Время=0.63 сек
Точность ε=1.0e-05   | Ошибка классификации=0.0288 | Время=0.83 сек
Точность ε=1.0e-06   | Ошибка классификации=0.0287 | Время=1.05 сек
Точность ε=1.0e-07   | Ошибка классификации=0.0287 | Время=1.06 сек
Точность ε=1.0e-08   | Ошибка классификации=0.0288 | Время=1.22 сек

### Датасет: news20.binary.bz2 ###
Точность ε=1.0e+00   | Ошибка классификации=0.5012 | Время=0.11 сек
Точность ε=1.0e-01   | Ошибка классификации=0.1547 | Время=3.39 сек
Точность ε=1.0e-02   | Ошибка классификации=0.0752 | Время=5.80 сек
Точность ε=1.0e-03   | Ошибка классификации=0.0592 | Время=7.83 сек
Точность ε=1.0e-04   | Ошибка классификации=0.0592 | Время=8.83 сек
Точность ε=1.0e-05   | Ошибка классификации=0.0595 | Время=10.96 сек
Точность ε=1.0e-06   | Ошибка классификации=0.0595 | Время=13.91 сек
Точность ε=1.0e-07   | Ошибка классификации=0.0595 | Время=15.72 сек
Точность ε=1.0e-08   | Ошибка классификации=0.0595 | Время=14.77 сек
